Group,Mag Group,Mag Avg,CosDist Sum,DotProd Sum,CosDist Sim,N1,N2,N3,Type
biti_po_volja,2.5760470441312227,1.927575046150087,1.0329505928146736,-0.4908508783040998,0.5825512007063318,0.2508752895458557,0.34325390831049163,0.370949709976372,1
sesuti_v_prah,3.8274219483165797,2.076586590409729,1.1020514197405105,-2.433305814818699,0.5099134454002697,0.43207887808835144,0.4634051369467864,0.47952584111359897,1
skomigniti_z_rame,4.175593331540117,2.436729059640497,1.2122309615485454,-6.478216148857179,None,0.15016217171301793,0.1547847085110272,0.25960836463855375,1
vzeti_se_čas,3.70258317154335,1.8727364152027997,1.1735055216867272,-3.6092422572176996,0.5314633550183896,0.35797632876338825,0.4501540802536049,0.45378692280565947,1
prav_priti,3.1603586197416704,2.1494564716170457,1.04476583222481,-0.6081933675547799,0.6730794451468971,0.1447843579486212,0.4266756585078211,0.45194723356277144,1
imeti_proti,3.3604342981477973,2.3330299867797883,0.9962779948318614,0.05836099626948996,0.6878842742439297,0.16866815386708955,0.17620983659170197,0.22082237864961451,1
imeti_zadosti,3.5800753520750987,2.262552529671686,0.9508536390137876,0.7961817170867003,0.7222866383900951,0.20706311046590242,0.39519983929787184,0.44437783617055693,1
zamahniti_z_roka,4.0939844570745505,2.1924166530379248,1.1814953666927817,-4.8871546153768,0.29336953546162403,0.1369254524057658,0.231940870798373,0.4005560505195629,1
dati_ves_od_se,3.5974254751149477,1.7346241842518226,1.168450782891652,-4.204653654437099,None,0.4259012585679709,0.44086169748927395,0.44228984258741544,1
priti_do_izraz,3.52769737224229,1.9641724611308278,1.1011639661797603,-2.10289719496256,0.5442035656115108,0.11577970388941683,0.1918217503757058,0.3042277560210086,1
biti_res,1.9961115830102731,1.9537189859571047,0.9624384614575479,0.2929680634101142,0.6622065014018688,0.2964197042452381,0.33259234172308383,0.3350370043521185,1
biti_na_vrh,3.0832793145284914,1.8890115169241366,0.9750207347087241,0.43646396151719963,0.6843569631392672,0.23412565391035867,0.3971366528270711,0.4066494453745374,1
igrati_vloga,4.641303373960514,2.8853420509362366,1.1010123739524431,-2.7054644725009003,0.4394364401556303,0.1792934027211438,0.24829861002956344,0.26445917272119834,1
biti_moč,2.9884018108341603,2.0750994371226175,0.8410654133968084,1.9711801439903396,0.7941942389033405,0.3993664019814369,0.4019817644135296,0.4135988283497998,1
delati_družba,4.046162063578319,2.259316740113898,1.0273757882685293,-0.5005149141799996,0.5045816087339883,0.3560073512791,0.3664476447040699,0.3667353470555872,1
kdo_vedeti,3.1333779010496423,2.315710990167813,1.2659271136639714,-3.859133019278025,0.5559460049748839,0.16893174780869202,0.19659417018955094,0.3128940710837076,1
držati_korak_z,3.8040677868358235,1.9780442768757207,0.9879443785689779,0.2721417120071003,None,0.3024989321687801,0.36883282657978056,0.387606898160642,1
stopiti_v_stik,3.555150405594595,2.0350539332775046,1.235214098988762,-5.105267554466591,0.34742530025337814,0.196278033990947,0.2554241315915854,0.2735316943319527,1
v_igra_biti,3.637125116022054,1.7251481971776328,1.1249394688954355,-2.3518280170609995,0.7721193490983617,0.19953713195121203,0.26390870340303396,0.35527997871201267,1
biti_na_volja,3.3845608958939963,1.9122192109382563,0.9095633343530272,1.75592436824475,0.6858583933816697,0.07659621228219893,0.2081385061834904,0.20848181312929848,1
najti_prostor,3.346339119218285,2.2071203311432464,0.9747909799945326,0.37237620391587994,0.4921380490292842,0.1895888365419035,0.2684360337522165,0.3065421036798024,1
obroditi_sad,4.47078053538045,2.689895029713431,0.886820718246573,2.7221723168357,0.6124289064956161,0.42615604113326266,0.4535374506414688,0.462535022050933,1
delati_razlika,3.9778108249148194,2.237445857237704,0.8623641018642403,2.4499565204234997,0.5059647202950541,0.174965951077238,0.2878550718421681,0.31743654635495644,1
pustiti_pri_mir,3.2143586227526213,2.033969141213214,1.0308447832366812,-0.604980903075,0.4208441143510262,0.308327459056532,0.3099091954969633,0.32936296783369023,1
iti_na_živec,3.7999136489065446,2.243063862897176,1.1097472639446297,-2.806275617411242,0.6290655822718341,0.14552382035085787,0.3866489052459895,0.4084390086761672,1
prešteti_na_prst_en_roka,3.064893042770661,2.2575390737134367,1.1307127928833196,-4.522084753033101,None,0.419003492824778,0.43880634892903303,0.43998277514049555,1
trd_presti,4.43246832669349,2.3833743807922416,0.9681257751400758,0.6734533776431989,0.573074014955573,0.4132990434032551,0.4466208904012874,0.45183622482815156,1
iti_v_pozaba,4.00762056378348,1.9502675889568928,1.0230077496864185,-0.5394810551901998,0.6295857392674569,0.12215749430033396,0.1578199054502032,0.4854929907230736,1
dajati_videz,4.081527205598763,2.422812555415257,0.9826433433094219,0.3432721579926006,0.3975076257978249,0.27160281035276224,0.32693160204020477,0.3766676548966388,1
postaviti_ob_bok,3.0483617486613324,2.115700881126844,1.055646698804375,-1.0766670699958696,None,0.27529176666113586,0.32457232797089697,0.3360182528776233,1
priti_prav,2.473203619486881,2.1494564716170457,1.1415584970309862,-1.5050622632514497,0.5759213213748611,0.26808732374408895,0.27260413171642583,0.3171298299485412,1
postaviti_pod_vprašaj,3.566666716905436,2.305961563932931,0.8870931330675221,2.7858402205594404,0.10388608437700442,0.10388608437700442,0.16227510375451237,0.372702314162494,1
spraviti_v_dober_volja,2.9751952440736074,1.8339064254204245,1.1354794117601232,-2.9568271471813996,None,0.19496927181688817,0.2643196579259751,0.2657507701965288,1
vzeti_čas,3.764170289299755,2.1170872436536867,1.2206501683950686,-3.5167563209429997,0.7186554601525469,0.3019492156255429,0.35797632876338825,0.4099898755726257,1
pred_vrata_biti,3.1451043630223223,2.058527809941842,0.956543853162139,0.8440424123540997,0.6417228212260497,0.17758764439263908,0.25639134131024666,0.2712190000038047,1
postaviti_na_glava,2.8132608281716824,2.1014762000317444,1.125711581458088,-2.229620863263,0.3440500428180623,0.1792151093250497,0.2496952964093454,0.28575246488634765,1
prihajati_na_misel,3.3185528532840944,1.8774469702517322,1.1419892800836038,-2.6539530136814,0.3158061985433528,0.21786571086150675,0.24351104569347348,0.2516725378725104,1
biti_v_postopek,4.060260177335369,1.851511688222114,1.0668332868255228,-1.5072815958156003,0.7029488036059296,0.06594342866550518,0.10344021785704349,0.1115066130520993,1
najti_pot,4.034379001710283,2.2286189757688675,0.8806736185279678,2.145749329207706,0.5572249671103905,0.22018101983083682,0.3368374032310193,0.34193342672487037,1
narediti_svoj,3.1310229646696053,1.9236733078513883,1.11208640903201,-1.3502075224478398,0.5243629803648968,0.23457793813815608,0.2433193829613277,0.2498993475082063,1
